"Id","Entity__c","Entity_Name__c","Type__c","Executed_Product_Name__c"
"a0lw0000008shhHAAQ","","0012000000js6ucAAA","Lumpsum","Axis Triple Advantage Fund"
"a0lw0000008shhIAAQ","","0012000000js6ucAAA","SIP","Axis Triple Advantage Fund"
"a0lw0000008shhJAAQ","","0012000000js6ucAAA","Lumpsum","Axis Triple Advantage Fund"
"a0lw0000008shhKAAQ","","0012000000js6ucAAA","Lumpsum","DSP BlackRock Equity Fund"
"a0lw0000008shhLAAQ","","0012000000js6ucAAA","SIP","DSP BlackRock Equity Fund Growth"
"a0lw0000008shhMAAQ","","0012000000js6ucAAA","Lumpsum","Birla Sun Life Savings Fund"
"a0lw0000008shhNAAQ","","0012000000js6ucAAA","Lumpsum","Birla Sun Life Savings Fund"
"a0lw0000008shhOAAQ","","0012000000js6ucAAA","Lumpsum","Birla SL - DBF Ret (G) [Folio:1015942109]"
"a0lw0000008shhPAAQ","","0012000000js6ucAAA","SIP","Birla SL - DBF Ret (G) [Folio:1015942109]"
"a0lw0000008shhQAAQ","","0012000000js6ucAAA","Lumpsum","HDFC - Top 200 Fund - (G) [Folio:7947423/40]"
"a0lw0000008shhRAAQ","","0012000000js6ucAAA","SIP","HDFC - Top 200 Fund - (G) [Folio:7947423/40]"
"a0lw0000008shhSAAQ","","0012000000js6ucAAA","General Insurance","Bajaj Allianz Premier Personal Guard"
"a0lw0000008sfd0AAA","","0012000000xDOi0AAG","Lumpsum","IDFC MIP"
"a0lw0000008sfd1AAA","","0012000000xDOi0AAG","Lumpsum","BSL Dynamic Bond Fund"
"a0lw0000008sfd2AAA","","0012000000xDOi0AAG","Lumpsum","BSL Frontline Equity"
"a0lw0000008sfd3AAA","","0012000000xDOi0AAG","Lumpsum","Pramerica Equity"
"a0lw0000008sfd4AAA","","0012000000xDOi0AAG","Lumpsum","Pramerica Short Term Income"
"a0lw0000008sfd5AAA","","0012000000xDOi0AAG","Lumpsum","BSL Dynamic Bond Fund"
"a0lw0000008sfd6AAA","","0012000000xDOi0AAG","Lumpsum","BSL Frontline Equity"
"a0lw0000008sfd7AAA","","0012000000xDOi0AAG","Lumpsum","Pramerica Equity"
"a0lw0000008sfd8AAA","","0012000000xDOi0AAG","SIP","Pramerica Short Term Income"
"a0lw0000008sfd9AAA","","0012000000xDOi0AAG","SIP","Axis Triple Advantage"
"a0lw0000008sfdAAAQ","","0012000000xDOi0AAG","SIP","BSL Frontline Equity"
"a0lw0000008sfdBAAQ","","0012000000xDOi0AAG","SIP","Pramerica Equity"
"a0lw0000008sfdCAAQ","","0012000000xDOi0AAG","SIP","DSP Equity"
"a0lw0000008sfdDAAQ","","0012000000xDOi0AAG","SIP","IDFC Premier Equity"
"a0lw0000008sfdEAAQ","","0012000000xDOi0AAG","SIP","Pramerica Short Term Income"
"a0lw0000008sfdFAAQ","","0012000000xDOi0AAG","SIP","BSL Dynamic Bond Fund"
"a0lw0000008sfdGAAQ","","0012000000xDOi0AAG","SIP","Axis Triple Advantage"
"a0lw0000008sfdHAAQ","","0012000000xDOi0AAG","SIP","BSL Frontline Equity"
"a0lw0000008sfdIAAQ","","0012000000xDOi0AAG","SIP","Pramerica Equity"
"a0lw0000008sfdJAAQ","","0012000000xDOi0AAG","SIP","DSP Equity"
"a0lw0000008sfdKAAQ","","0012000000xDOi0AAG","SIP","IDFC Premier Equity"
"a0lw0000008sfdLAAQ","","0012000000xDOi0AAG","SIP","Pramerica Short Term Income"
"a0lw0000008sfdMAAQ","","0012000000xDOi0AAG","SIP","BSL Dynamic Bond Fund"
"a0lw0000008sfdNAAQ","","0012000000xDOi0AAG","SIP","Pramerica Short Term Income"
"a0lw0000008sfdOAAQ","","0012000000xDOi0AAG","SIP","BSL Dynamic Bond Fund"
"a0lw0000008sfdPAAQ","","0012000000xDOi0AAG","SIP","BSL Frontline Equity"
"a0lw0000008sfdQAAQ","","0012000000xDOi0AAG","SIP","Pramerica Equity"
"a0lw0000008sfdRAAQ","","0012000000xDOi0AAG","SIP","Pramerica Short Term Income"
"a0lw0000008sfdSAAQ","","0012000000xDOi0AAG","SIP","BSL Dynamic Bond Fund"
"a0lw0000008sfdTAAQ","","0012000000yJpqWAAS","Lumpsum","UTI - Energy Fund"
"a0lw0000008sfdUAAQ","","0012000000yJpqXAAS","Lumpsum","UTI - Energy Fund"
"a0lw0000008sfckAAA","","0012000000xDOi0AAG","General Insurance","Bajaj Allianz Extra Care"
"a0lw0000008sfclAAA","","0012000000xDOi0AAG","General Insurance","Bajaj Allianz Critical Illness"
"a0lw0000008sfcmAAA","","0012000000xDOi0AAG","General Insurance","Bajaj Allianz Critical Illness"
"a0lw0000008sfcnAAA","","0012000000xDOi0AAG","Life Insurance","HDFC Life Click2Protect"
"a0lw0000008sfcoAAA","","0012000000xDOi0AAG","Lumpsum","UTI - Energy Fund"
"a0lw0000008sfcpAAA","","0012000000xDOi0AAG","Lumpsum","UTI Infra G"
"a0lw0000008sfcqAAA","","0012000000xDOi0AAG","Lumpsum","Savings A/c - From FD's"
"a0lw0000008sfcrAAA","","0012000000xDOi0AAG","Lumpsum","BSL Savings"
