"ID","NAME","RECORDTYPEID","PRODUCT_MANUFACTURER__C","IS_ACTIVE__C","PRODUCTTYPE__C","PRODUCT_NAME__C"
"a342000000005RYAAY","PRD-007716","01220000000638OAAQ","a33200000000BbIAAU","true","Mutual Fund","ICICI Pru Dynamic Bond"
"a342000000005RZAAY","PRD-007717","01220000000638OAAQ","a33200000000BbIAAU","true","Mutual Fund","ICICI Pru Focused Bluechip Eq Retail"
"a342000000005RaAAI","PRD-007718","01220000000638OAAQ","a33200000000BbIAAU","true","Mutual Fund","ICICI Prudential Long term"
"a342000000005RUAAY","PRD-007712","01220000000638OAAQ","a33200000000BbUAAU","true","Mutual Fund","ICICI Blue Chip Fund Growth"
"a342000000005RVAAY","PRD-007713","01220000000638OAAQ","a33200000000BbUAAU","true","Mutual Fund","ICICI Discovery"
"a342000000005RWAAY","PRD-007714","01220000000638OAAQ","a33200000000BbUAAU","true","Mutual Fund","ICICI Dynamic Plan"
"a342000000005RbAAI","PRD-007719","01220000000638OAAQ","a33200000000BbIAAU","true","Mutual Fund","ICICI Prudential Regular Savings"
"a342000000005SXAAY","PRD-007777","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Lombard Persoanl Accident Cover"
"a342000000005SYAAY","PRD-007778","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Lombard Personal Protect Plan"
"a342000000005SZAAY","PRD-007779","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Lombard Top Up Cover"
"a342000000005SaAAI","PRD-007780","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Personal Protect"
"a342000000005SbAAI","PRD-007781","01220000000638EAAQ","a33200000000BbUAAU","true","General Insurance","ICICI Personal Protect Policy"
"a342000000005ScAAI","PRD-007782","01220000000638EAAQ","a33200000000BbIAAU","true","General Insurance","ICICI Pru Capital Protection"
"a342000000005SdAAI","PRD-007783","01220000000638OAAQ","a33200000000BbIAAU","true","Mutual Fund","ICICI Prudential Capital Protection Oriented Fund"
"a342000000005SeAAI","PRD-007784","01220000000638OAAQ","a33200000000BbZAAU","true","Mutual Fund","Premium persoanl Guard"
"a342000000005SfAAI","PRD-007785","01220000000638EAAQ","a33200000000BbaAAE","true","General Insurance","Preventive Health Care"
"a342000000005SgAAI","PRD-007786","01220000000638OAAQ","a33200000000BbbAAE","true","Mutual Fund","Top Up Policy with Rs.4,00,000 deductible"
"a342000000005ShAAI","PRD-007787","01220000000638OAAQ","a33200000000BbSAAU","true","Mutual Fund","UTI  Equity"
"a342000000005SiAAI","PRD-007788","01220000000638OAAQ","a33200000000BbSAAU","true","Mutual Fund","UTI Dividend Yield"
"a342000000005SjAAI","PRD-007789","01220000000638OAAQ","a33200000000BbSAAU","true","Mutual Fund","UTI Dynamic Bond"
"a342000000005SkAAI","PRD-007790","01220000000638OAAQ","a33200000000BbSAAU","true","Mutual Fund","UTI Master Plus 91"
"a342000000005SlAAI","PRD-007791","01220000000638OAAQ","a33200000000BbSAAU","true","Mutual Fund","UTI Master Share"
"a342000000005SmAAI","PRD-007792","01220000000638OAAQ","a33200000000BbSAAU","true","Mutual Fund","UTI Opportunities"
"a342000000005SnAAI","PRD-007793","01220000000638OAAQ","a33200000000BbSAAU","true","Mutual Fund","UTI Short-term Income Regular"
"a342000000005SoAAI","PRD-007794","01220000000638OAAQ","a33200000000BbSAAU","true","Mutual Fund","UTI TOP 100"
"a342000000005SpAAI","PRD-007795","01220000000638OAAQ","a33200000000BbQAAU","true","Mutual Fund","Tata Balanced"
"a342000000005SqAAI","PRD-007796","01220000000638OAAQ","a33200000000BbQAAU","true","Mutual Fund","Tata Contra"
"a342000000005SrAAI","PRD-007797","01220000000638OAAQ","a33200000000BbQAAU","true","Mutual Fund","Tata Equity oppurtunities"
"a342000000005SsAAI","PRD-007798","01220000000638OAAQ","a33200000000BbQAAU","true","Mutual Fund","Tata Equity PE"
"a342000000005StAAI","PRD-007799","01220000000638OAAQ","a33200000000BbQAAU","true","Mutual Fund","Tata Income"
"a342000000005SuAAI","PRD-007800","01220000000638OAAQ","a33200000000BbQAAU","true","Mutual Fund","Tata Mid Cap"
"a342000000005SvAAI","PRD-007801","01220000000638OAAQ","a33200000000BbQAAU","true","Mutual Fund","Tata Pure Equity"
"a342000000005SwAAI","PRD-007802","01220000000638OAAQ","a33200000000BbNAAU","true","Mutual Fund","Religare Invesco Mid Cap"
"a342000000005SxAAI","PRD-007803","01220000000638OAAQ","a33200000000BbNAAU","true","Mutual Fund","Religare Invesco Tax Plan"
"a342000000005SyAAI","PRD-007804","01220000000638OAAQ","a33200000000BbJAAU","true","Mutual Fund","Kotak Bond"
"a342000000005SzAAI","PRD-007805","01220000000638OAAQ","a33200000000BbJAAU","true","Mutual Fund","Kotak Sensex ETF"
"a342000000005T0AAI","PRD-007806","01220000000638OAAQ","a33200000000BbLAAU","true","Mutual Fund","Principal Income Short-term"
"a342000000005T1AAI","PRD-007807","01220000000638OAAQ","a33200000000BbKAAU","true","Mutual Fund","L&T Equity Fund"
"a342000000005T2AAI","PRD-007808","01220000000638OAAQ","a33200000000BbKAAU","true","Mutual Fund","L&T Flexi Bond"
"a342000000005T3AAI","PRD-007809","01220000000638OAAQ","a33200000000BbKAAU","true","Mutual Fund","L&T India Large Cap Fund"
"a342000000005T4AAI","PRD-007810","01220000000638OAAQ","a33200000000BbKAAU","true","Mutual Fund","L&T Tax Advantage Fund"
"a342000000005QQAAY","PRD-007646","01220000000638OAAQ","a33200000000BbCAAU","true","Mutual Fund","DSP BlackRock Equity Fund"
